oaptlocation,destname,daptlocation,oname,dname,tbl,y,quart,origincty,destcty,originname,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,numrecs,x
"Austin, TX","Houston, TX","Houston, TX","Austin, TX","Houston, TX",Table 1,0,20133,30423,31453,"Austin, TX",148,254.673913,173.9921938,WN,60.09389671,170.0561932,WN,60.09389671,170.0561932,1,0
"Seattle, WA","Portland, OR","Portland, OR","Seattle, WA","Portland, OR",Table 1,0,20133,30559,34057,"Seattle, WA",129,650.2173913,127.9863741,AS,85.79070545,130.2877825,UA,14.14242728,113.732435,2,0
"Baltimore, MD","Norfolk, VA (Metro Area)","Norfolk, VA","Washington, DC (Metro Area)","Norfolk, VA (Metro Area)",Table 1,20,20133,30852,33667,"Washington, DC (Metro Area)",159,181.3043478,184.6582554,WN,67.26618705,166.2871212,WN,67.26618705,166.2871212,,
"Chicago, IL","Indianapolis, IN","Indianapolis, IN","Chicago, IL","Indianapolis, IN",Table 1,0,20133,30977,32337,"Chicago, IL",178,226.9565217,184.3417912,UA,61.30268199,191.4232344,AA,35.34482759,173.2150542,4,0
"Houston, TX","San Antonio, TX","San Antonio, TX","Houston, TX","San Antonio, TX",Table 1,0,20133,31453,33214,"Houston, TX",192,333.2608696,167.8667091,WN,56.65362035,162.2880138,WN,56.65362035,162.2880138,5,0
"Dallas, TX","Austin, TX","Austin, TX","Dallas, TX","Austin, TX",Table 1,0,20133,30194,30423,"Dallas/Fort Worth, TX",190,964.7826087,165.7275935,WN,71.76656151,167.8487473,AA,27.78278504,159.6633252,6,0
"Dallas, TX","Oklahoma City, OK","Oklahoma City, OK","Dallas, TX","Oklahoma City, OK",Table 1,0,20133,30194,33851,"Dallas/Fort Worth, TX",181,233.8043478,164.1924593,AA,51.74337517,161.9744564,AA,51.74337517,161.9744564,7,0
"New York, NY","Martha's Vineyard, MA","Martha's Vineyard, MA","New York City, NY (Metro Area)","Martha's Vineyard, MA",Table 1,0,20133,31703,33541,"New York City, NY (Metro Area)",192,237.2826087,158.9268759,B6,60.23820431,156.3286996,DL,36.55519927,1,,
"Orlando, FL","Miami, FL (Metro Area)","Fort Lauderdale, FL","Orlando, FL","Miami, FL (Metro Area)",Table 1,18,20133,31454,32467,"Orlando, FL",192,354.2391304,147.9119546,AA,85.45566125,161.1302837,NK,14.32954894,68.81584582,9,0
"Atlanta, GA","Charlotte, NC","Charlotte, NC","Atlanta, GA (Metro Area)","Charlotte, NC",Table 1,0,20133,30397,31057,"Atlanta, GA (Metro Area)",226,282.6086957,255.8808231,DL,59.15384615,274.5839662,US,38.34615385,224.4724373,10,20
"Providence, RI","New York City, NY (Metro Area)","Newburgh/Poughkeepsie, NY","Boston, MA (Metro Area)","New York City, NY (Metro Area)",Table 1,26,20133,30721,31703,"Boston, MA (Metro Area)",209,3596.086957,191.7070768,DL,28.43670657,242.3370961,B6,25,,,
"Chicago, IL","Detroit, MI","Detroit, MI","Chicago, IL","Detroit, MI",Table 1,0,20133,30977,31295,"Chicago, IL",235,1315.652174,179.2221852,DL,47.38103106,173.3962302,WN,20.95175149,159.408265,12,0
